Category,Country,Arrivals,Growth_pct,Latitude,Longitude
Visitors,Singapore,6526262,28.5,1.3521,103.8198
Visitors,China,1441184,37.8,35.8617,104.1954
Visitors,Indonesia,1466923,11.6,-0.7893,113.9213
Visitors,Thailand,833610,3.4,15.8700,100.9925
Visitors,Brunei,480916,-20.1,4.5353,114.7277
Visitors,India,484791,36.6,20.5937,78.9629
Tourists,Singapore,2718152,4.6,1.3521,103.8198
Tourists,China,1231072,28.8,35.8617,104.1954
Tourists,Indonesia,1288979,12.0,-0.7893,113.9213
Tourists,Thailand,593305,9.1,15.8700,100.9925
Tourists,India,382401,28.9,20.5937,78.9629
Tourists,Brunei,314480,-19.5,4.5353,114.7277
Excursionists,Singapore,3808110,53.7,1.3521,103.8198
Excursionists,China,240305,-8.3,35.8617,104.1954
Excursionists,Indonesia,210112,133.7,-0.7893,113.9213
Excursionists,Thailand,177944,9.2,15.8700,100.9925
Excursionists,Brunei,166436,-21.4,4.5353,114.7277
Excursionists,India,102390,75.4,20.5937,78.9629

