Year,Month,Category,Arrivals,MonthNum
2024,Jan,Visitors,2431941,1
2024,Feb,Visitors,2697941,2
2024,Mar,Visitors,3136479,3
2024,Apr,Visitors,2799026,4
2025,Jan,Visitors,3756075,1
2025,Feb,Visitors,2980330,2
2025,Mar,Visitors,3366567,3
2025,Apr,Visitors,3281512,4
2024,Jan,Tourists,1771571,1
2024,Feb,Tourists,1952043,2
2024,Mar,Tourists,2088386,3
2024,Apr,Tourists,1748642,4
2025,Jan,Tourists,2458711,1
2025,Feb,Tourists,1853122,2
2025,Mar,Tourists,2054968,3
2025,Apr,Tourists,1990120,4
2024,Jan,Excursionists,660370,1
2024,Feb,Excursionists,745898,2
2024,Mar,Excursionists,1048093,3
2024,Apr,Excursionists,1050384,4
2025,Jan,Excursionists,1297364,1
2025,Feb,Excursionists,1127208,2
2025,Mar,Excursionists,1311599,3
2025,Apr,Excursionists,1291392,4

